date,open,high,low,close,volume
2025-02-16 16:45:00,0.27043,0.27076,0.27023,0.27059,8425047.0
2025-02-16 16:40:00,0.26994,0.27061,0.26987,0.27043,4385946.0
2025-02-16 16:35:00,0.26952,0.26999,0.26918,0.26994,2775225.0
2025-02-16 16:30:00,0.26935,0.26963,0.26898,0.26952,2935355.0
2025-02-16 16:25:00,0.2686,0.26968,0.26855,0.26935,5530596.0
2025-02-16 16:20:00,0.26774,0.26861,0.26763,0.2686,6752948.0
2025-02-16 16:15:00,0.26888,0.26892,0.2673,0.26774,15616014.0
2025-02-16 16:10:00,0.26876,0.2692,0.26861,0.26888,1201273.0
2025-02-16 16:05:00,0.26895,0.26922,0.2686,0.26876,2533122.0
2025-02-16 16:00:00,0.26947,0.27007,0.26863,0.26895,5087183.0
2025-02-16 15:55:00,0.26942,0.26947,0.26903,0.26947,880282.0
2025-02-16 15:50:00,0.269,0.26964,0.26888,0.26942,1688251.0
2025-02-16 15:45:00,0.26907,0.26942,0.26872,0.269,4731101.0
2025-02-16 15:40:00,0.27001,0.27001,0.26907,0.26907,6363508.0
2025-02-16 15:35:00,0.27075,0.27075,0.27001,0.27001,1414924.0
2025-02-16 15:30:00,0.27041,0.27081,0.27001,0.27075,1756504.0
2025-02-16 15:25:00,0.2705,0.27059,0.26988,0.27041,2749306.0
2025-02-16 15:20:00,0.27007,0.27066,0.26993,0.2705,1741496.0
2025-02-16 15:15:00,0.26982,0.27008,0.26955,0.27007,3685923.0
2025-02-16 15:10:00,0.26962,0.26989,0.26945,0.26982,2253054.0
2025-02-16 15:05:00,0.26975,0.26993,0.26913,0.26962,3020331.0
2025-02-16 15:00:00,0.26943,0.26994,0.26873,0.26975,8490583.0
2025-02-16 14:55:00,0.2693,0.26943,0.26881,0.26943,9100321.0
2025-02-16 14:50:00,0.26963,0.26974,0.26922,0.2693,1748856.0
2025-02-16 14:45:00,0.26979,0.27022,0.26927,0.26963,3827551.0
2025-02-16 14:40:00,0.27035,0.27037,0.26967,0.26979,2016532.0
2025-02-16 14:35:00,0.26971,0.27042,0.2697,0.27035,2674923.0
2025-02-16 14:30:00,0.2698,0.26999,0.26917,0.26971,9029828.0
2025-02-16 14:25:00,0.26967,0.26984,0.26922,0.2698,2924097.0
